,probe_id,request_ntp,request_capture,resp_delta_capture,response_orig_ts,response_capture,resp_proc_time,response_reference_timestamp,response_transmit_timestamp,response_transmit_minus_reference,response_reference_valid,request_ntp_equals_response_orig_ts
105,61820,2025-07-11 07:37:01.722453,2025-07-11 07:37:01.769638,0.04718470573425293,2025-07-11 07:37:01.722453,2025-07-11 07:37:01.769841,-2.3e-05,2025-07-11 07:36:01.769818,2025-07-11 07:37:01.769818,60.0,True,True
106,61820,2025-07-11 07:37:01.817994,2025-07-11 07:37:01.865754,0.047760009765625,2025-07-11 07:37:01.817994,2025-07-11 07:37:01.865978,-2.4e-05,2025-07-11 07:36:01.865954,2025-07-11 07:37:01.865954,60.0,True,True
107,61820,2025-07-11 07:37:01.913659,2025-07-11 07:37:01.959722,0.04606318473815918,2025-07-11 07:37:01.913659,2025-07-11 07:37:01.959963,-3.4e-05,2025-07-11 07:36:01.959929,2025-07-11 07:37:01.959929,60.0,True,True
108,18891,2025-07-11 07:37:01.910965,2025-07-11 07:37:01.779527,-0.1314375400543213,2025-07-11 07:37:01.910965,2025-07-11 07:37:01.779732,-3.2e-05,2025-07-11 07:36:01.779700,2025-07-11 07:37:01.779700,60.0,True,True
109,18891,2025-07-11 07:37:02.189963,2025-07-11 07:37:02.058778,-0.13118529319763184,2025-07-11 07:37:02.189963,2025-07-11 07:37:02.059025,-3.1e-05,2025-07-11 07:36:02.058994,2025-07-11 07:37:02.058994,60.0,True,True
110,18891,2025-07-11 07:37:02.469374,2025-07-11 07:37:02.337758,-0.13161659240722656,2025-07-11 07:37:02.469374,2025-07-11 07:37:02.337925,-2.2e-05,2025-07-11 07:36:02.337903,2025-07-11 07:37:02.337903,60.0,True,True
111,10443,2025-07-11 07:37:00.450673,2025-07-11 07:37:01.880114,1.4294404983520508,2025-07-11 07:37:00.450673,2025-07-11 07:37:01.880279,-2e-05,2025-07-11 07:36:01.880259,2025-07-11 07:37:01.880259,60.0,True,True
112,10443,2025-07-11 07:37:00.554023,2025-07-11 07:37:01.982858,1.4288356304168701,2025-07-11 07:37:00.554023,2025-07-11 07:37:01.983055,-2.6e-05,2025-07-11 07:36:01.983029,2025-07-11 07:37:01.983029,60.0,True,True
113,10443,2025-07-11 07:37:00.657148,2025-07-11 07:37:02.085654,1.4285058975219727,2025-07-11 07:37:00.657148,2025-07-11 07:37:02.085841,-2.8e-05,2025-07-11 07:36:02.085813,2025-07-11 07:37:02.085813,60.0,True,True
114,29793,2025-07-11 07:37:03.026279,2025-07-11 07:37:02.209694,-0.8165853023529053,2025-07-11 07:37:03.026279,2025-07-11 07:37:02.209897,-2e-05,2025-07-11 07:36:02.209877,2025-07-11 07:37:02.209877,60.0,True,True
115,29793,2025-07-11 07:37:03.047478,2025-07-11 07:37:02.229042,-0.8184359073638916,2025-07-11 07:37:03.047478,2025-07-11 07:37:02.229245,-2.8e-05,2025-07-11 07:36:02.229217,2025-07-11 07:37:02.229217,60.0,True,True
116,29793,2025-07-11 07:37:03.066918,2025-07-11 07:37:02.248583,-0.8183348178863525,2025-07-11 07:37:03.066918,2025-07-11 07:37:02.248806,-2.9e-05,2025-07-11 07:36:02.248777,2025-07-11 07:37:02.248777,60.0,True,True
117,53953,2025-07-11 07:37:01.267740,2025-07-11 07:37:02.251035,0.9832954406738281,2025-07-11 07:37:01.267740,2025-07-11 07:37:02.251186,-2.1e-05,2025-07-11 07:36:02.251165,2025-07-11 07:37:02.251165,60.0,True,True
118,53953,2025-07-11 07:37:01.390558,2025-07-11 07:37:02.373400,0.982841968536377,2025-07-11 07:37:01.390558,2025-07-11 07:37:02.373575,-2.2e-05,2025-07-11 07:36:02.373553,2025-07-11 07:37:02.373553,60.0,True,True
119,53953,2025-07-11 07:37:01.512694,2025-07-11 07:37:02.495533,0.9828395843505859,2025-07-11 07:37:01.512694,2025-07-11 07:37:02.495711,-2.6e-05,2025-07-11 07:36:02.495685,2025-07-11 07:37:02.495685,60.0,True,True
120,19832,2025-07-11 07:37:04.570238,2025-07-11 07:37:04.379031,-0.1912069320678711,2025-07-11 07:37:04.570238,2025-07-11 07:37:04.379234,-3.9e-05,2025-07-11 07:36:04.379195,2025-07-11 07:37:04.379195,60.0,True,True
121,19832,2025-07-11 07:37:04.583484,2025-07-11 07:37:04.392014,-0.19147014617919922,2025-07-11 07:37:04.583484,2025-07-11 07:37:04.392206,-2.1e-05,2025-07-11 07:36:04.392185,2025-07-11 07:37:04.392185,60.0,True,True
122,19832,2025-07-11 07:37:04.596584,2025-07-11 07:37:04.405030,-0.19155383110046387,2025-07-11 07:37:04.596584,2025-07-11 07:37:04.405206,-2.2e-05,2025-07-11 07:36:04.405184,2025-07-11 07:37:04.405184,60.0,True,True
123,60123,2025-07-11 07:37:06.744213,2025-07-11 07:37:06.756332,0.012118816375732422,2025-07-11 07:37:06.744213,2025-07-11 07:37:06.756556,-3e-05,2025-07-11 07:36:06.756526,2025-07-11 07:37:06.756526,60.0,True,True
124,60123,2025-07-11 07:37:06.768910,2025-07-11 07:37:06.780874,0.011964559555053711,2025-07-11 07:37:06.768910,2025-07-11 07:37:06.781076,-3.2e-05,2025-07-11 07:36:06.781044,2025-07-11 07:37:06.781044,60.0,True,True
125,60123,2025-07-11 07:37:06.793764,2025-07-11 07:37:06.805812,0.012048006057739258,2025-07-11 07:37:06.793764,2025-07-11 07:37:06.806036,-2.2e-05,2025-07-11 07:36:06.806014,2025-07-11 07:37:06.806014,60.0,True,True
